
char	x1 y1 x2 y2 x3 y3 x4 y4 x5 y5 x6 y6 x7 y7 x8 y8 x9 y9	
n	0.1875 0.140625 0.09375 0.515625 0 0.8828125 0.1796875 0.5078125 0.4609375 0.140625 0.640625 0.109375 0.515625 0.5390625 0.3828125 0.8828125 0.671875 0.9765625
h	0 0 0.046875 0.3125 0.0625 0.671875 0.15625 0.765625 0.328125 0.4609375 0.4609375 0.3359375 0.625 0.4609375 0.6015625 0.7421875 0.53125 0.9921875
y	0.0078125 0.0859375 0.140625 0.1875 0.2578125 0.375 0.4140625 0.421875 0.5078125 0.1484375 0.484375 0.1953125 0.28125 0.5234375 0.125 0.7734375 0 0.9765625
h	0 0 0.0390625 0.25 0.0546875 0.5859375 0.046875 0.8359375 0.1015625 0.671875 0.2421875 0.625 0.3515625 0.828125 0.40625 0.921875 0.2890625 0.7578125
y	0.03125 0 0.03125 0.2421875 0.1953125 0.25 0.3125 0.140625 0.40625 0.0390625 0.3046875 0.265625 0.203125 0.46875 0.0859375 0.8046875 0.0234375 0.96875
q	0.453125 0.015625 0.1015625 0.0703125 0 0.3203125 0.2734375 0.3203125 0.3984375 0.1484375 0.40625 0.3671875 0.3984375 0.703125 0.328125 0.6953125 0.59375 0.6171875
y	0.0234375 0.1640625 0.15625 0.3125 0.265625 0.40625 0.4375 0.53125 0.421875 0.1640625 0.3359375 0.3515625 0.203125 0.609375 0.1015625 0.8046875 0 0.9609375
t	0.0546875 0 0.203125 0.1328125 0.1953125 0.296875 0.15625 0.5703125 0.1484375 0.7421875 0.203125 0.9453125 0.3359375 0.9921875 0.0625 0.6171875 0.2578125 0.5703125
u	0 0.0234375 0.0078125 0.359375 0.0078125 0.65625 0.1171875 0.96875 0.40625 0.7265625 0.5625 0.421875 0.546875 0.3515625 0.53125 0.7109375 0.75 0.90625
q	0.328125 0.1015625 0.0703125 0.0546875 0 0.3359375 0.21875 0.3359375 0.296875 0.1953125 0.296875 0.546875 0.296875 0.9375 0.484375 0.84375 0.421875 0.65625
w	0.125 0.3359375 0 0.703125 0.1640625 0.9765625 0.4296875 0.671875 0.5703125 0.40625 0.4375 0.6953125 0.6328125 0.9765625 0.90625 0.6953125 0.984375 0.375
c	0.6953125 0.2734375 0.9296875 0.109375 0.7890625 0.1875 0.546875 0.3671875 0.203125 0.5859375 0.0078125 0.765625 0.0546875 0.9921875 0.4609375 0.9609375 0.7734375 0.875
t	0.34375 0.078125 0.3359375 0.234375 0.296875 0.390625 0.2578125 0.6328125 0.2265625 0.796875 0.296875 0.9921875 0.4921875 0.9609375 0.1484375 0.3671875 0.3671875 0.34375
o	0.4296875 0.046875 0.0859375 0.09375 0 0.4453125 0.109375 0.8359375 0.2890625 0.9921875 0.625 0.953125 0.859375 0.671875 0.875 0.2890625 0.59375 0.0703125
m	0 0.609375 0.078125 0.8125 0.1953125 0.96875 0.3203125 0.7734375 0.4765625 0.8203125 0.6171875 0.84375 0.7109375 0.703125 0.9140625 0.7734375 0.984375 0.96875
b	0.046875 0.03125 0.09375 0.4453125 0.09375 0.8515625 0 0.828125 0.078125 0.4921875 0.328125 0.421875 0.546875 0.6953125 0.375 0.9296875 0.0390625 0.9375
b	0.0625 0 0.046875 0.3515625 0.0078125 0.671875 0.015625 0.7109375 0.1484375 0.4609375 0.375 0.46875 0.3515625 0.734375 0.203125 0.9375 0.0078125 0.9296875
j	0.3046875 0.421875 0.296875 0.5234375 0.3125 0.671875 0.3359375 0.7734375 0.3359375 0.875 0.2578125 0.953125 0.1484375 0.9765625 0.046875 0.984375 0.21875 0.015625
m	0.0078125 0.1484375 0.046875 0.484375 0 0.90625 0.2578125 0.234375 0.5078125 0.3984375 0.5703125 0.7109375 0.609375 0.3203125 0.90625 0.4609375 0.984375 0.8828125
l	0.03125 0.03125 0.0234375 0.140625 0.0234375 0.2421875 0.015625 0.3671875 0.015625 0.5546875 0.0078125 0.671875 0.0078125 0.7734375 0 0.875 0 0.9765625
v	0 0.3203125 0.0390625 0.1328125 0.140625 0.265625 0.140625 0.6015625 0.03125 0.890625 0.140625 0.921875 0.3515625 0.7265625 0.7265625 0.375 0.984375 0.1640625
r	0 0.0859375 0.0390625 0.1953125 0.09375 0.3828125 0.1171875 0.546875 0.140625 0.75 0.1328125 0.9453125 0.140625 0.1953125 0.2109375 0.078125 0.3359375 0
