Id Fail Leverage CumulProfit Liquid OverDueDebt WorkCap OperProfit ShortDebt GuarDebt StateLag FiscalLag InFinan Links CapStruct
1 0 1 0.12911 0.05359 0 0.0765 0.09662 0 0 128 105 0.07439 0 0.81122
2 0 1 0.08815 0.02957 0 0.03307 0.13316 0.01061 0.04186 136 35 0.09217 0 0.87221
3 0 1 0.37154 0.07035 0 0.1894 0.10179 0.20643 0 129 98 0.10091 0 0.49301
4 0 0 -0.02375 0.17381 0 -0.11621 -0.0009 0.02716 0 184 94 -0.00569 0 0.945
5 1 0 0.35253 0.00092 1 0.53456 0.00395 0.23932 0 139 111 0.02057 0 0.56809
6 0 1 0.38699 0.12311 0 0.32436 0.12385 0 0 264 124 0.17207 0 0.56425
7 1 1 -0.08919 0.0031 0 0.07477 0.09592 0.18914 0 262 239 0.10022 0 1.05041
8 0 0 0.13555 0.05892 1 0.57028 0.0793 0.50617 0.51474 222 182 0.09753 0 0.69232
9 0 1 0.36701 0.19682 0 0.03912 -0.00041 0 0 185 156 -0.19649 0 0.4234
10 0 1 0.02211 0.02029 0 0.09951 0.05124 0.0202 0 206 160 0.044 0 0.84158
11 0 0 0.05116 0.0087 0 0.54226 0.07555 0.34457 0 184 177 0.08328 0 0.80542
12 0 0 -0.34625 0.02584 0 -0.04083 -0.3353 0.04564 0.51656 285 284 -0.44443 0 1.27
13 1 0 0.03297 0.00083 1 0.44287 -0.09839 0.24821 0.08324 152 106 0.05327 0 0.81577
14 1 0 0.01083 0.00294 1 0.01507 0.10429 0.15281 0.83896 366 311 0.20141 0 0.81287
15 1 0 -0.19118 0.08123 0 0.1321 -0.0745 0.28541 0 180 181 -0.07039 0 1.074
16 1 1 0.00448 0.04482 0 0.15616 0.03021 0.19891 0 217 123 -0.47221 0 0.98064
17 0 1 0.15301 0.30415 0 0.19971 0.14883 0 0 172 151 0.16591 0 0.50106
18 0 1 0.23456 0.01063 0 0.37754 0.11981 0.40421 0 327 293 0.13075 0 0.42166
19 0 1 0.09558 0.2544 0 -0.13621 -0.01643 0 0 247 100 -0.03902 0 0.846
20 0 0 0.11649 0.02311 0 0.57399 0.10219 0.14598 0.29393 250 164 0.12921 0 0.37458
21 0 1 0.22177 0.0211 0 0.43572 0.06373 0 0 186 110 0.08505 0.16463 0.32237
22 0 1 -0.08572 0.20708 0 0.02012 0.02755 0 0.57501 209 96 -0.6204 0 1.0841
23 0 1 0.31044 0.00982 0 0.41486 0.08323 0.06233 0 176 109 0.00895 0 0.60649
24 0 1 0.05164 0.06764 0 -0.06655 0.06145 0 0.68086 173 165 0.12023 0 0.82999
25 1 0 -0.00856 0.00061 0 0.26901 -0.0777 0.01686 0.18344 236 104 0.08967 0 0.8761
26 0 1 0.5172 0.0436 0 0.59123 0.11742 0.21637 0 320 138 0.11007 0 0.4376
27 1 0 -0.07613 0.0032 1 0.57717 0.06571 0.42575 0 179 72 0.06632 0 0.88203
28 0 1 0.46627 0.05241 0 0.64956 0.1104 0.1711 0 149 131 0.07357 0 0.40391
29 0 1 0.21735 0.11486 0 0.44993 0.12197 0.38506 0.65291 243 174 0.15048 0 0.66265
30 0 0 0.22834 0.02902 0 0.14886 0.04775 0 0.54471 143 125 -0.02338 0 0.71327
31 0 0 0.09442 0.0108 0 -0.00286 0.0581 0 0.35419 333 148 -0.01063 0.00896 0.8816
32 0 0 0.58322 0.03589 0 0.79714 -0.02129 0.34549 0.31491 153 135 0.00595 0 0.14799
33 1 1 0.11053 0.00168 1 0.25069 0.0922 0.41227 0 176 160 -0.04448 0 0.86374
34 0 1 0.22145 0.01011 0 0.35752 0.26281 0.13926 0.20137 152 138 0.28828 0 0.5946
35 0 1 0.04194 0.00238 0 0.2799 0.0955 0.2255 0.4747 177 148 -0.02555 0 0.84134
36 0 1 0.36821 0.30347 0 0.05772 0.22207 0 0.17524 167 148 0.03095 0 0.54428
37 0 1 0.2007 0.03435 0 0.04139 0.07959 0.77312 0.34704 137 92 0.00267 0 0.34471
